league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2022,2023-05-28 15:30:00,Bournemouth,a,0.432084,1.12933,0.432084,1.12933,7.45,13.884615384615383,4,4,0,1,0.681,l,0,0,1,0
EPL,2022,2022-08-06 14:00:00,Southampton,a,0.386546,1.6172,0.386546,1.6172,15.545454545454543,5.7,7,12,1,4,0.4576,l,0,0,1,0
EPL,2022,2022-08-13 14:00:00,Southampton,h,1.40906,1.99694,1.40906,1.99694,13.263157894736842,4.852941176470588,4,9,2,2,0.9052,d,0,1,0,1
EPL,2022,2022-08-20 14:00:00,Southampton,a,1.24155,0.242948,1.24155,0.242948,15.761904761904765,4.806451612903226,4,5,2,1,2.282,w,1,0,0,3
EPL,2022,2022-08-27 11:30:00,Southampton,h,1.35887,1.34359,1.35887,1.34359,12.5625,8.333333333333334,11,11,0,1,1.3067,l,0,0,1,0
EPL,2022,2022-08-30 18:45:00,Southampton,h,1.44086,1.5047,1.44086,1.5047,12.125,3.407407407407407,3,7,2,1,1.2903,w,1,0,0,3
EPL,2022,2022-09-03 14:00:00,Southampton,a,1.20838,1.10039,1.20838,1.10039,7.517241379310345,9.36842105263158,12,8,0,1,1.4135,l,0,0,1,0
EPL,2022,2022-09-16 19:00:00,Southampton,a,0.218302,1.34365,0.218302,1.34365,8.04,5.948717948717949,2,6,0,1,0.3137999999999999,l,0,0,1,0
EPL,2022,2022-10-01 14:00:00,Southampton,h,1.95961,1.99979,1.95961,1.99979,9.238095238095235,14.4375,12,4,1,2,1.3222999999999998,l,0,0,1,0
EPL,2022,2022-10-08 14:00:00,Southampton,a,0.101148,2.73536,0.101148,2.73536,26.73684210526316,15.133333333333333,0,12,0,4,0.0678,l,0,0,1,0
EPL,2022,2022-10-16 13:00:00,Southampton,h,0.524479,1.70727,0.524479,1.70727,18.0,11.23076923076923,2,8,1,1,0.5014,d,0,1,0,1
EPL,2022,2022-10-19 18:30:00,Southampton,a,1.23878,0.810452,1.23878,0.810452,13.65,11.761904761904765,6,8,1,0,1.7622,w,1,0,0,3
EPL,2022,2022-10-23 13:00:00,Southampton,h,0.622653,1.57897,0.622653,1.57897,21.066666666666663,9.565217391304348,7,8,1,1,0.5932,d,0,1,0,1
EPL,2022,2022-10-29 14:00:00,Southampton,a,1.35803,1.00384,1.35803,1.00384,7.3,11.608695652173912,8,7,0,1,1.6206,l,0,0,1,0
EPL,2022,2022-11-06 14:00:00,Southampton,h,1.65228,1.42101,1.65228,1.42101,9.045454545454543,14.266666666666667,6,4,1,4,1.5575,l,0,0,1,0
EPL,2022,2022-11-12 15:00:00,Southampton,a,1.43427,2.74418,1.43427,2.74418,21.8,20.0,9,10,1,3,0.5758,l,0,0,1,0
EPL,2022,2022-12-26 15:00:00,Southampton,h,1.70709,1.00714,0.857921,1.00714,20.227272727272727,11.0625,5,10,1,3,1.9778,l,0,0,1,0
EPL,2022,2022-12-31 15:00:00,Southampton,a,0.698711,1.49305,0.698711,0.731881,13.590909090909092,7.523809523809524,2,6,1,2,0.6106,l,0,0,1,0
EPL,2022,2023-01-04 19:30:00,Southampton,h,0.62937,1.22324,0.62937,1.22324,5.565217391304348,11.85,4,4,0,1,0.7590999999999999,l,0,0,1,0
EPL,2022,2023-01-14 15:00:00,Southampton,a,1.08412,1.18191,1.08412,1.18191,6.84,13.071428571428571,8,4,2,1,1.2537,w,1,0,0,3
EPL,2022,2023-01-21 15:00:00,Southampton,h,0.672444,1.16432,0.672444,1.16432,12.035714285714286,7.571428571428571,4,8,0,1,0.9341,l,0,0,1,0
EPL,2022,2023-02-04 15:00:00,Southampton,a,0.644385,2.36747,0.644385,2.36747,8.578947368421053,12.058823529411764,5,12,0,3,0.2808,l,0,0,1,0
EPL,2022,2023-02-11 15:00:00,Southampton,h,1.30203,0.615651,1.30203,0.615651,8.470588235294118,5.947368421052632,7,2,1,2,1.983,l,0,0,1,0
EPL,2022,2023-02-18 15:00:00,Southampton,a,0.619532,1.61723,0.619532,1.61723,7.119047619047619,5.862068965517241,3,11,1,0,0.5426,w,1,0,0,3
EPL,2022,2023-02-25 15:00:00,Southampton,a,0.391128,0.720048,0.391128,0.720048,10.961538461538462,5.444444444444445,2,10,0,1,0.9448,l,0,0,1,0
EPL,2022,2023-03-04 17:30:00,Southampton,h,1.34332,1.67051,0.582156,1.67051,13.115384615384617,5.964285714285714,1,12,1,0,1.0948,w,1,0,0,3
EPL,2022,2023-03-12 14:00:00,Southampton,a,1.18053,0.910911,1.18053,0.910911,8.92,9.153846153846152,4,8,0,0,1.5585,d,0,1,0,1
EPL,2022,2023-03-15 19:30:00,Southampton,h,0.358977,1.66591,0.358977,1.66591,5.4,11.807692307692308,6,4,0,2,0.2338,l,0,0,1,0
EPL,2022,2023-03-18 15:00:00,Southampton,h,2.52077,1.88473,1.7596,1.88473,10.444444444444445,7.576923076923077,12,6,3,3,1.8373,d,0,1,0,1
EPL,2022,2023-04-02 13:00:00,Southampton,a,0.318261,1.40363,0.318261,1.40363,7.758620689655173,8.972972972972974,3,3,0,1,0.4503,l,0,0,1,0
EPL,2022,2023-04-08 16:30:00,Southampton,h,0.492801,3.05999,0.492801,2.29883,54.888888888888886,8.88888888888889,1,11,1,4,0.0771,l,0,0,1,0
EPL,2022,2023-04-15 14:00:00,Southampton,h,0.678449,0.86306,0.678449,0.86306,8.478260869565217,9.090909090909092,9,8,0,2,1.0869,l,0,0,1,0
EPL,2022,2023-04-21 19:00:00,Southampton,a,1.43063,2.39609,1.43063,2.39609,18.928571428571427,4.16,3,23,3,3,0.7431,d,0,1,0,1
EPL,2022,2023-04-27 18:45:00,Southampton,h,0.477034,0.988554,0.477034,0.988554,7.884615384615385,10.22222222222222,5,5,0,1,0.859,l,0,0,1,0
EPL,2022,2023-04-30 13:00:00,Southampton,a,0.897175,3.91457,0.897175,3.91457,15.352941176470589,6.08,4,12,1,3,0.0355,l,0,0,1,0
EPL,2022,2023-05-08 19:00:00,Southampton,a,3.31096,1.91326,2.54979,1.1521,10.857142857142858,13.0,12,8,3,4,2.2749,l,0,0,1,0
EPL,2022,2023-05-13 14:00:00,Southampton,h,0.149649,1.27085,0.149649,1.27085,12.77777777777778,7.869565217391305,0,11,0,2,0.3339999999999999,l,0,0,1,0
EPL,2022,2023-05-21 13:00:00,Southampton,a,0.863659,2.41418,0.863659,2.41418,19.11111111111111,10.857142857142858,2,22,1,3,0.4295,l,0,0,1,0
EPL,2022,2023-05-28 15:30:00,Southampton,h,1.33964,4.00345,1.33964,4.00345,31.09090909090909,3.75,4,20,4,4,0.1953,d,0,1,0,1
EPL,2022,2022-08-07 13:00:00,Leicester City,h,0.455695,0.931067,0.455695,0.931067,17.705882352941178,22.214285714285715,5,3,2,2,0.8336000000000001,d,0,1,0,1
EPL,2022,2022-08-13 14:00:00,Leicester City,a,0.690679,3.0107,0.690679,3.0107,14.0,10.333333333333334,5,10,2,4,0.1659999999999999,l,0,0,1,0
EPL,2022,2022-08-20 14:00:00,Leicester City,h,0.242948,1.24155,0.242948,1.24155,4.806451612903226,15.761904761904765,5,4,1,2,0.4478,l,0,0,1,0
EPL,2022,2022-08-27 14:00:00,Leicester City,a,1.96023,1.74916,1.96023,1.74916,21.5,11.24,10,3,1,2,1.4883,l,0,0,1,0
EPL,2022,2022-09-01 19:00:00,Leicester City,h,0.615266,1.09969,0.615266,1.09969,12.0,22.941176470588236,2,11,0,1,0.8414999999999999,l,0,0,1,0
EPL,2022,2022-09-04 13:00:00,Leicester City,a,1.06549,2.73166,1.06549,1.97049,45.0,11.84,4,10,2,5,0.3777,l,0,0,1,0
EPL,2022,2022-09-17 16:30:00,Leicester City,a,1.59449,1.98619,0.833326,1.98619,17.11111111111111,21.214285714285715,10,6,2,6,1.0978,l,0,0,1,0
EPL,2022,2022-10-03 19:00:00,Leicester City,h,1.2497,1.22169,1.2497,1.22169,10.03448275862069,21.53846153846154,7,4,4,0,1.3702,w,1,0,0,3
EPL,2022,2022-10-08 14:00:00,Leicester City,a,1.18125,1.14891,1.18125,1.14891,8.678571428571429,37.55555555555556,8,7,1,2,1.38,l,0,0,1,0
EPL,2022,2022-10-15 11:30:00,Leicester City,h,0.973426,0.346808,0.973426,0.346808,7.7105263157894735,24.357142857142858,13,1,0,0,1.9329,d,0,1,0,1
