league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2020,2021-03-13 17:30:00,Everton,h,1.69849,0.74852,1.69849,0.74852,7.222222222222222,20.733333333333334,9,9,1,2,2.1591000000000005,l,0,0,1,0
EPL,2020,2021-04-05 17:00:00,Everton,h,2.53386,0.603749,2.53386,0.603749,12.5,14.823529411764708,10,12,1,1,2.5885,d,0,1,0,1
EPL,2020,2021-04-12 19:15:00,Everton,a,0.306287,1.16465,0.306287,1.16465,19.785714285714285,8.5,3,11,0,0,0.596,d,0,1,0,1
EPL,2020,2021-04-16 19:00:00,Everton,h,2.26022,1.4815,1.49905,1.4815,10.695652173913045,15.61111111111111,6,2,2,2,1.9642,d,0,1,0,1
EPL,2020,2021-04-23 19:00:00,Everton,a,0.529676,0.735767,0.529676,0.735767,19.72222222222222,15.0,3,8,1,0,1.0815,w,1,0,0,3
EPL,2020,2021-05-01 19:00:00,Everton,h,1.223,1.58811,1.223,1.58811,15.941176470588236,10.863636363636363,8,6,1,2,1.0494,l,0,0,1,0
EPL,2020,2021-05-09 15:30:00,Everton,a,1.56222,1.09704,1.56222,1.09704,15.272727272727272,6.37037037037037,6,7,1,0,1.7381,w,1,0,0,3
EPL,2020,2021-05-13 21:00:00,Everton,a,0.975408,0.558976,0.975408,0.558976,14.904761904761903,16.5,8,5,0,0,1.7121,d,0,1,0,1
EPL,2020,2021-05-16 18:00:00,Everton,h,1.24609,1.391,1.24609,1.391,9.65,14.428571428571429,12,5,0,1,1.1866,l,0,0,1,0
EPL,2020,2021-05-19 17:00:00,Everton,h,0.670997,0.265526,0.670997,0.265526,11.555555555555555,8.869565217391305,4,1,1,0,1.6935,w,1,0,0,3
EPL,2020,2021-05-23 15:00:00,Everton,a,1.07258,2.88355,0.297804,2.88355,19.115384615384617,10.0,3,9,0,5,0.3316,l,0,0,1,0
EPL,2020,2020-09-12 14:00:00,Southampton,a,1.26267,1.39569,1.26267,1.39569,3.608695652173913,17.333333333333332,14,1,0,1,1.2208,l,0,0,1,0
EPL,2020,2020-09-20 11:00:00,Southampton,h,2.27708,2.28004,1.51591,2.28004,8.666666666666666,10.782608695652174,4,3,2,5,1.3364,l,0,0,1,0
EPL,2020,2020-09-26 19:00:00,Southampton,a,0.706632,0.347136,0.706632,0.347136,13.75,8.214285714285714,6,9,1,0,1.71,w,1,0,0,3
EPL,2020,2020-10-04 11:00:00,Southampton,h,0.949079,0.161283,0.949079,0.161283,5.09375,15.842105263157896,6,1,2,0,2.1162,w,1,0,0,3
EPL,2020,2020-10-17 14:00:00,Southampton,a,1.42348,1.98708,1.42348,1.98708,14.608695652173912,10.91304347826087,5,11,3,3,0.8833,d,0,1,0,1
EPL,2020,2020-10-25 14:00:00,Southampton,h,0.74151,0.287054,0.74151,0.287054,13.875,11.685714285714283,6,6,2,0,1.7526,w,1,0,0,3
